time,set_alt,alt,airspeed,groundspeed,gcs_speed,set_speed,commanded_speed
69,360.628654957,174.37,31.6603393555,31.9684848785,18.8286504,69.7665938166,35.0
70,361.469802459,174.06,32.5395851135,32.8802757263,18.8286504,64.4936093206,35.0
71,362.315815886,179.29,30.8387260437,30.5976238251,18.8286504,58.0098121989,35.0
72,363.164825042,185.14,29.428062439,29.2034683228,18.8286504,55.3566216563,35.0
73,363.998388251,190.83,28.6638526917,28.4774188995,18.8286504,53.1488806608,35.0
74,364.886451761,195.92,27.9141273499,27.9800052643,18.8286504,51.0862521609,35.0
75,365.989615917,201.519,27.8977508545,27.8245220184,18.8286504,53.6581609395,35.0
76,366.823278268,206.799,27.7150497437,27.9016113281,18.8286504,49.1744945693,35.0
77,367.660698295,211.04,27.9388809204,28.0307426453,18.8286504,46.9249666857,35.0
78,368.496393363,215.34,27.9101257324,28.1559448242,18.8286504,44.7451739333,35.0
79,369.346469243,219.709,28.3710861206,28.2894077301,18.8286504,42.5555813435,35.0
80,370.322210789,225.299,28.5771141052,28.4355697632,18.8286504,38.4271442097,35.0
81,371.348465085,231.069,28.493598938,28.5569972992,18.8286504,34.6395852887,35.0
82,372.182984153,236.87,28.6947154999,28.7005958557,18.8286504,31.1695321156,35.0
83,373.032041589,241.53,28.9452590942,28.7761707306,18.8286504,29.3898206372,34.04
84,499.493272503,246.319,28.9210662842,28.8487167358,18.8286504,27.7398110129,29.1
85,498.658519189,252.86,28.8206958771,28.688035965,18.8286504,25.0675000435,27.47
86,497.682270805,258.299,28.9161071777,28.5232887268,18.8286504,23.7530235983,24.8
87,496.848341624,265.16,28.5275802612,28.3572654724,18.8286504,21.7667288162,23.55
88,495.82111915,270.53,28.3472290039,28.2773151398,18.8286504,23.1339480984,21.59
89,494.987492561,275.81,28.4976615906,28.2687397003,18.8286504,22.0525347064,20.68
90,494.153638283,282.449,28.1880683899,28.2391262054,14.10091004,16.1220917499,19.9
91,300.524157882,287.61,28.505865097,28.2119216919,14.10091004,17.163510123,15.97
92,303.032230139,292.04,29.0217418671,28.8578605652,14.10091004,17.6310418681,16.49
93,305.537237525,296.74,29.319234848,29.4443683624,14.10091004,16.8504769353,16.07
94,309.190951756,301.12,29.0406074524,29.0040912628,14.10091004,15.7462701557,15.2
95,499.716184934,305.0,28.0708389282,28.2322235107,14.10091004,14.8670670621,15.0
96,498.044573466,308.53,27.4249610901,27.5839176178,14.10091004,14.35782439,15.0
97,496.374956767,311.979,26.8728675842,27.0074653625,14.10091004,14.1555226801,15.0
98,494.693704844,316.78,26.599281311,26.5641098022,14.10091004,14.0501468077,15.0
99,492.909011841,320.979,26.1467571259,26.1996269226,14.10091004,13.8490621635,15.0
100,491.206076543,326.389,26.1060638428,25.936756134,14.10091004,13.3502418422,15.0
101,489.499915044,330.87,25.5781993866,25.6963119507,14.10091004,12.9892589243,15.0
102,487.779004971,335.539,25.401014328,25.4275627136,14.10091004,12.6816712836,15.0
103,485.978091558,340.36,24.9383296967,25.1305961609,14.10091004,12.4513883943,15.0
104,484.019831816,346.43,24.8273200989,24.5978355408,14.10091004,11.9806039626,15.0
105,482.335391839,352.35,24.1565551758,24.1586112976,16.85318544,20.4436631836,19.06
106,480.386404991,356.5,24.3856506348,24.3879489899,16.85318544,25.0305577552,24.67
107,478.374806643,360.75,25.1765460968,25.3142032623,16.85318544,28.2369759856,28.62
108,476.32515351,363.539,26.2524681091,26.5938491821,16.85318544,31.724449396,28.87
109,474.657996893,365.789,27.1373558044,27.4413280487,16.85318544,29.749836701,27.4
110,472.985276779,368.759,27.2992515564,27.7053508759,16.85318544,27.5244059789,25.36
111,302.699526946,372.77,27.3290557861,27.3415775299,16.85318544,25.8270422822,23.72
112,306.033966541,378.35,26.038236618,26.3408374786,16.85318544,23.6314829226,22.58
113,309.371469816,379.33,23.8672599792,24.5747928619,16.85318544,23.8492679059,21.82
114,312.715726693,377.52,23.3063640594,23.6101036072,16.85318544,23.2659752529,21.28
115,316.060520013,372.419,23.8393650055,23.8830680847,16.85318544,21.8448520974,20.08
116,319.403520425,367.729,24.3543834686,24.48503685,16.85318544,21.1890532434,19.54
117,322.739746571,363.24,24.7576808929,24.7649440765,16.85318544,20.4806355352,18.95
118,326.097713312,358.99,24.6910800934,24.7162380219,16.85318544,19.7702832156,18.36
119,329.432299932,353.83,24.4501609802,24.4264278412,16.85318544,18.457365432,17.81
120,332.765320142,350.75,24.2329826355,24.2439670563,16.85318544,18.4915378658,17.31
121,336.115357081,347.1,23.6872940063,24.0777950287,16.85318544,17.9276428184,16.86
122,339.45950985,343.96,23.3780250549,23.7467403412,16.85318544,17.4278721849,16.46
123,342.795759837,341.259,23.1138744354,23.1529216766,15.95290844,15.7111577234,16.14
124,346.264193853,340.55,22.125541687,22.467212677,15.95290844,16.0319710675,15.8
125,349.878866673,340.3,22.7419204712,23.1461105347,15.95290844,16.0829909928,16.12
126,353.232020537,341.9,22.9173736572,23.5949172974,15.95290844,16.0679494301,16.14
127,356.679753462,344.949,22.5773506165,22.8136558533,15.95290844,16.0324123948,16.06
128,360.10427316,348.46,21.6107769012,21.5395374298,15.95290844,16.0239224038,16.03
129,363.515766462,352.96,20.6044616699,20.3947658539,15.95290844,15.951893127,16.02
130,366.965673765,356.58,19.897485733,19.7539787292,15.95290844,15.9133395401,16.01
131,370.574496587,360.3,19.3314094543,19.3836650848,15.95290844,15.8756613509,15.94
132,373.995556831,364.88,18.7767333984,18.7754096985,15.95290844,15.748215773,15.91
133,377.900453409,368.31,18.4111938477,18.4232997894,15.95290844,15.7113878768,15.81
134,381.24146382,372.449,17.8272533417,17.9968242645,15.95290844,15.5593823095,15.78
135,385.224850178,375.56,17.5600261688,17.6593799591,15.95290844,15.534858177,15.65
136,388.608606656,379.259,17.0093517303,17.2085704803,15.95290844,15.3784056307,15.64
137,392.517580191,382.289,16.6531581879,16.7963790894,15.95290844,15.3722711489,15.5
138,395.85381031,385.81,16.2052936554,16.4506568909,15.95290844,15.2306241649,15.51
139,399.606073697,388.11,16.3556098938,16.6298122406,15.95290844,15.7420388473,15.38
140,402.947833538,390.25,16.6832180023,16.7323513031,15.95290844,15.7390793054,15.38
141,406.286973159,392.62,16.4642772675,16.6327667236,15.95290844,15.7388894978,15.37
142,409.632337093,394.96,16.5407867432,16.5461101532,15.95290844,15.7409697377,15.38
143,412.970193227,397.37,16.4734725952,16.5619850159,15.95290844,15.7427131936,15.38
144,416.311373711,400.11,16.4944019318,16.4602203369,15.95290844,15.7439485397,15.38
145,419.647967021,403.77,16.0956096649,16.2586402893,15.95290844,15.6438353283,15.39
146,422.990457217,406.71,15.878364563,15.926358223,15.95290844,15.6609810827,15.25
147,426.338706811,409.27,15.6174612045,15.8340930939,15.95290844,15.6821037327,15.29
148,429.673573176,411.75,15.6593770981,15.9236297607,15.95290844,15.6998237608,15.31
149,433.009119829,414.21,15.8309879303,16.1631679535,15.95290844,15.7125961106,15.33
150,436.3575236,416.91,15.9178495407,16.1322593689,15.95290844,15.7252307437,15.35
151,439.701867104,419.62,15.7147026062,16.1117858887,15.95290844,15.7325186627,15.37
152,443.052530289,422.37,16.1058502197,16.3212242126,15.95290844,15.7350128636,15.38
153,446.629743576,426.52,16.3361854553,16.150894165,15.95290844,15.6464936242,15.24
154,450.005930265,431.11,15.7127285004,15.5507230759,15.95290844,15.5669741168,15.27
155,453.87408336,434.24,15.2285060883,15.5105438232,15.95290844,15.6010920815,15.7
156,457.287689845,438.02,15.7817268372,15.6606254578,15.95290844,15.5245580787,15.73
157,461.294780572,441.16,15.489238739,15.5805425644,15.95290844,15.5582064404,15.66
158,464.651773771,444.319,15.4204044342,15.580321312,15.95290844,15.58699521,15.69
159,467.990043163,448.11,15.5232391357,15.7102041245,15.95290844,15.4929386835,15.6
160,471.327563127,451.289,15.6379470825,15.6101150513,15.95290844,15.5228702864,15.81
161,474.84893322,454.4,15.8881130219,15.9800777435,15.95290844,15.545108668,15.65
162,478.182713191,458.11,15.7683181763,15.7201137543,15.95290844,15.5716363629,15.67
163,481.534480254,461.59,15.6196956635,15.5700130463,15.95290844,15.6029051028,15.7
164,484.877566497,464.74,15.5726499557,15.7500286102,15.95290844,15.6284016448,15.72
165,488.214226564,468.729,15.8467979431,15.8600282669,15.95290844,15.5341579955,15.74
166,491.830360095,472.08,15.9149265289,15.8800287247,15.95290844,15.5558541995,15.66
167,495.168243249,475.21,16.0115585327,16.0900020599,15.95290844,15.5732072278,15.68
168,498.610473474,478.639,16.0685844421,16.1100101471,15.95290844,15.5892525633,15.69
169,498.606323401,483.43,15.8477897644,15.7000284195,15.95290844,15.4952295789,15.6
170,496.925305128,486.77,15.2875270844,15.5500030518,15.95290844,15.5279070397,15.63
171,495.256011486,489.66,15.6899862289,15.9099998474,15.95290844,15.4284736498,15.66
172,493.318885167,491.27,15.5592937469,15.8400783539,13.504155,13.3190666676,15.0
173,491.651541789,492.099,14.9832286835,15.1209554672,13.504155,13.2912572526,15.0
174,489.980393251,491.58,15.0957756042,15.2320508957,13.504155,13.2670306641,15.0
175,488.307460149,490.21,15.2031335831,15.332742691,13.504155,13.2348441965,15.0
176,486.632099946,488.46,15.0808353424,15.6736879349,13.504155,13.1982638242,15.0
177,484.961413145,486.27,15.6185731888,16.0931816101,13.504155,13.0321892454,15.0
178,483.207278252,484.699,15.7440910339,16.2820739746,13.504155,12.9592959893,15.0
179,481.497685115,482.91,16.1252803802,16.3605976105,13.504155,12.7293731318,15.0
180,479.563576778,481.65,16.0222816467,16.3200263977,13.504155,12.6338651989,15.0
181,477.880976597,480.16,15.7898740768,16.2006931305,13.504155,12.3601028906,15.0
182,475.912503401,478.97,15.8180503845,16.1090545654,16.27186372,22.8961340218,21.7
183,474.243833224,476.03,16.6660423279,16.9454460144,16.27186372,30.0747557732,27.37
184,472.558515072,473.639,20.2088222504,20.6902523041,16.27186372,38.2492970958,35.0
185,470.576825142,472.599,21.7376708984,22.341840744,16.27186372,45.5530033483,35.0
186,468.600215117,472.539,22.6339111328,23.4528026581,16.27186372,48.524467241,35.0
187,466.915971835,473.68,23.2197036743,23.7840442657,16.27186372,46.1531964498,35.0
188,465.184781551,474.74,22.8817138672,23.2371349335,16.27186372,44.154055124,35.0
189,463.500614961,474.84,22.1353683472,22.8114814758,16.27186372,42.2359689607,35.0
190,461.770135164,473.68,22.3533668518,23.0244312286,16.27186372,40.408892528,35.0
191,459.90999341,471.46,23.1267127991,23.5030040741,16.27186372,43.6860519246,35.0
192,458.23620677,468.03,23.8356113434,24.2292079926,16.27186372,39.7659375581,35.0
193,456.460461617,465.34,24.8085002899,25.2964229584,16.27186372,37.5515815361,34.65
194,454.473438263,462.62,26.0113754272,26.4749603271,16.27186372,33.5114255624,35.0
195,452.792688211,460.229,26.6137657166,27.1937217712,16.27186372,29.6439248362,32.79
196,450.782696803,458.21,27.2157669067,27.7436580658,16.27186372,27.4562397208,28.89
197,449.112366835,456.729,26.291475296,27.3198013306,16.27186372,25.5041120195,26.77
198,447.445656856,455.849,25.5031013489,25.9398384094,16.27186372,22.8711558968,23.9
199,445.436931849,454.759,24.593788147,25.1679420471,16.27186372,21.6740028277,22.58
200,443.432619969,452.41,24.7211380005,24.9269332886,16.27186372,19.9060893591,20.65
201,441.738806566,449.78,24.5224246979,24.9917621613,16.27186372,18.4826222129,19.73
202,439.867033164,447.849,24.8243141174,25.0992259979,16.27186372,19.3697613689,18.33
203,438.190904856,446.069,24.5497322083,25.0052871704,16.27186372,18.5708574862,17.69
204,436.52344346,444.31,24.4955215454,24.9110927582,16.27186372,17.8875302568,17.17
205,434.852718512,442.52,24.397190094,24.8593254089,16.27186372,17.344322669,16.77
206,433.182659944,440.71,24.3073692322,24.7957172394,16.27186372,16.9176338189,16.5
207,431.507618427,438.289,24.2402629852,24.7116165161,16.27186372,16.4283015943,16.34
208,429.839855035,436.44,24.1618881226,24.6023178101,16.27186372,16.3095911509,16.27
